Jahr,Anteil EE (%),BHKW (Biomethan),BHKW (Erdgas),Biogas,GUD (Erdgas),Klär-Deponiegas,PV,Stromverbrauch ges.,Wasserkraft,Windkraft,Stromeinkauf (Bundesmix)
2000,1.12,0.0,2820.0,0.0,158800.0,11850.0,480.0,1119248.0,240.0,63.0,944995.0
2005,2.55,0.0,3546.61,0.0,174700.0,11850.0,2102.41,1341607.83,211.0,20052.5,1129145.3
2010,3.74,0.0,3331.73,13639.0,465542.0,11850.0,12055.93,1420298.33,426.25,15278.0,898175.41
2015,10.8,14816.0,5161.0,44952.2,286197.0,12290.0,35756.0,1320837.76,436.0,34406.0,886823.56
2016,11.93,23218.0,1263.85,44952.2,402175.0,15708.0,37384.0,1308669.86,436.0,34457.0,749075.81
2017,12.64,12059.0,4989.0,44952.2,402360.0,15246.58,39097.68,1319182.88,436.0,55059.84,744982.57
2018,14.23,20490.0,8842.0,44952.2,353635.0,15306.54,42918.0,1297512.29,436.0,60546.0,750386.54
2019,14.69,17479.0,8776.0,44952.2,426182.0,15201.0,47745.0,1268307.1,436.0,60546.0,646989.9
2020,15.72,18767.0,9525.0,44952.2,315826.0,15300.0,53858.0,1233164.55,436.0,60546.0,713954.35
2021,17.86,19286.0,9525.0,44952.2,344366.0,14524.0,62137.0,1226962.78,185.0,78103.0,653884.58
