STATIONS_ID,MESS_DATUM_BEGINN,MESS_DATUM_ENDE,QN_4,MO_N,MO_TT,MO_TX,MO_TN,MO_FK,MX_TX,MX_FX,MX_TN,MO_SD_S,QN_6,MO_RR,MX_RS,eor
       3404,18530101,18530131,    5,  -999,   3.70,    -999,    -999,-999,-999,-999,-999,-999,    5,    84.0,-999,eor
       3404,18530201,18530228,    5,  -999,  -0.60,    -999,    -999,-999,-999,-999,-999,-999,    5,    47.0,-999,eor
       3404,18530301,18530331,    5,  -999,   0.70,    -999,    -999,-999,-999,-999,-999,-999,    5,    36.0,-999,eor
       3404,18530401,18530430,    5,  -999,   6.60,    -999,    -999,-999,-999,-999,-999,-999,    5,    98.0,-999,eor
       3404,18530501,18530531,    5,  -999,  12.50,    -999,    -999,-999,-999,-999,-999,-999,    5,    34.0,-999,eor
       3404,18530601,18530630,    5,  -999,  16.30,    -999,    -999,-999,-999,-999,-999,-999,    5,   115.0,-999,eor
       3404,18530701,18530731,    5,  -999,  17.70,    -999,    -999,-999,-999,-999,-999,-999,    5,    68.0,-999,eor
       3404,18530801,18530831,    5,  -999,  16.30,    -999,    -999,-999,-999,-999,-999,-999,    5,    85.0,-999,eor
       3404,18530901,18530930,    5,  -999,  14.40,    -999,    -999,-999,-999,-999,-999,-999,    5,    87.0,-999,eor
       3404,18531001,18531031,    5,  -999,  10.30,    -999,    -999,-999,-999,-999,-999,-999,    5,    63.0,-999,eor
       3404,18531101,18531130,    5,  -999,   3.20,    -999,    -999,-999,-999,-999,-999,-999,    5,     3.0,-999,eor
       3404,18531201,18531231,    5,  -999,  -3.00,    -999,    -999,-999,-999,-999,-999,-999,    5,    26.0,-999,eor
       3404,18540101,18540131,    5,  -999,   2.00,    -999,    -999,-999,-999,-999,-999,-999,    5,    52.0,-999,eor
       3404,18540201,18540228,    5,  -999,   1.30,    -999,    -999,-999,-999,-999,-999,-999,    5,    65.0,-999,eor
       3404,18540301,18540331,    5,  -999,   5.30,    -999,    -999,-999,-999,-999,-999,-999,    5,    10.0,-999,eor
       3404,18540401,18540430,    5,  -999,   8.80,    -999,    -999,-999,-999,-999,-999,-999,    5,    36.0,-999,eor
       3404,18540501,18540531,    5,  -999,  12.30,    -999,    -999,-999,-999,-999,-999,-999,    5,   125.0,-999,eor
       3404,18540601,18540630,    5,  -999,  15.20,    -999,    -999,-999,-999,-999,-999,-999,    5,   101.0,-999,eor
       3404,18540701,18540731,    5,  -999,  18.20,    -999,    -999,-999,-999,-999,-999,-999,    5,    36.0,-999,eor
       3404,18540801,18540831,    5,  -999,  16.40,    -999,    -999,-999,-999,-999,-999,-999,    5,    67.0,-999,eor
       3404,18540901,18540930,    5,  -999,  13.80,    -999,    -999,-999,-999,-999,-999,-999,    5,    41.0,-999,eor
       3404,18541001,18541031,    5,  -999,   9.40,    -999,    -999,-999,-999,-999,-999,-999,    5,    92.0,-999,eor
