ZEIT,CO2-Emissionen - Gesamt (inkl. Verkehr),CO2-Emissionen - Gewerbe + Sonstiges,CO2-Emissionen - Industrie,CO2-Emissionen - Private Haushalte,CO2-Emissionen - Verkehr,CO2-Emissionen - Zielwert Gesamt (inkl. Verkehr),CO2-Emissionen - Zielwert Gewerbe + Sonstiges,CO2-Emissionen - Zielwert Industrie,CO2-Emissionen - Zielwert Private Haushalt,CO2-Emissionen - Zielwert Verkehr
1990,2618209.19,846374.36,293939.74,817146.28,660748.8,,,,,
1995,2504065.9,801725.97,278433.67,774039.74,649866.5,,,,,
2000,2491478.65,800988.78,278177.65,773328.01,638984.19,,,,,
2005,2559941.04,835296.15,290092.36,806450.63,628101.88,,,,,
2010,2228232.87,735889.94,185496.82,684161.37,622684.73,,,,,
2015,2080107.63,629441.4,217637.18,636894.09,596134.94,,,,,
2016,2052526.76,632025.21,214250.89,607277.94,598972.7,,,,,
2017,2011870.41,623804.37,215604.5,578793.98,593667.54,,,,,
2018,2002468.47,592654.29,232468.64,588419.94,588925.58,,,,,
2019,1891386.22,549176.92,225833.35,533848.63,582527.29,,,,,
2020,1809540.75,512646.28,204680.18,521173.26,571041.01,,,,,
2021,1816224.03,549104.26,191003.12,510254.3,565862.33,,,,,
2030,,,,,,130910.0,42319.0,14697.0,40857.0,33037.0
