ZEIT,Strom-Emissionen nach Energieträgern (t) - Windkraft,Strom-Emissionen nach Energieträgern - Anteil EE an Gesamtemissionen (%),Strom-Emissionen nach Energieträgern - BHKW (Biomethan),Strom-Emissionen nach Energieträgern - BHKW (Erdgas),Strom-Emissionen nach Energieträgern - Biogas,Strom-Emissionen nach Energieträgern - Emissionen ges.,Strom-Emissionen nach Energieträgern - GUD (Erdgas),Strom-Emissionen nach Energieträgern - Klär-Deponiegas,Strom-Emissionen nach Energieträgern - PV,Strom-Emissionen nach Energieträgern - Wasserkraft,Strom-Emissionen nach Energieträgern - reg. Bezug (Bundesmix)
2000,1.19,0.07,0.0,813.43,0.0,835941.02,164469.79,592.5,61.92,0.72,670001.45
2005,380.99,0.12,0.0,979.24,0.0,975822.08,180937.49,592.5,271.21,0.63,792660.0
2010,168.05,0.4,0.0,1023.63,1773.07,813599.66,257801.89,592.5,759.52,1.27,551479.7
2015,344.06,1.14,1214.91,1281.07,5843.78,720679.58,177855.56,614.5,1430.24,1.3,532094.13
2016,344.57,1.25,1903.87,318.54,5843.78,675951.33,230045.44,785.4,1495.36,1.3,435213.04
2017,550.59,1.36,988.83,1066.47,5843.78,639315.63,215818.05,762.32,1563.9,1.3,412720.34
2018,605.46,1.43,1680.18,2284.62,5843.78,621199.67,200091.98,765.32,1716.72,1.3,408210.28
2019,605.46,1.55,1433.27,2267.08,5843.78,587337.08,222553.81,760.05,1909.8,1.3,351962.51
2020,605.46,1.84,1538.89,2697.79,5843.78,506513.36,180194.79,765.0,2154.32,1.3,312712.0
2021,781.03,1.88,1581.45,2697.79,5843.78,521100.4,197696.69,726.2,2485.48,0.55,309287.4
