Fuß,Rad,MIV,ÖPNV
703,1396,387,348
66,135,35,33
82,296,28,34
433,721,242,199
55,114,34,21
67,130,48,61
749,2491,705,439
71,269,44,39
142,346,120,60
75,215,72,163
50,185,43,20
69,190,54,11
73,246,85,19
152,498,140,46
48,140,39,12
69,402,108,69
286,1141,655,142
66,232,108,27
56,315,93,38
130,412,254,49
34,182,200,28
268,1375,649,166
36,154,66,15
46,257,117,33
66,246,127,26
54,361,160,42
66,357,179,50
463,1995,1709,424
170,581,434,131
113,883,267,85
31,260,308,63
38,64,172,55
39,123,290,41
72,84,238,49
151,435,527,108
30,108,108,28
33,105,112,22
68,193,196,45
20,29,111,13
163,548,671,139
76,237,197,50
50,183,218,32
37,128,256,57
142,605,911,166
12,135,252,29
46,201,184,41
27,107,178,42
57,162,297,54
211,763,976,169
7,95,127,14
32,118,158,26
78,297,331,62
61,168,194,27
33,85,166,40
