ZEIT,Projektträger Münster - Abfalle,Projektträger Münster - Betriebe,Projektträger Münster - Betriebskosteneinsparung,Projektträger Münster - CO2,Projektträger Münster - Energie in kWh/a,Projektträger Münster - Wasser,Projektträger Münster - einmalige Investitionskosten
2001,877.0,14.0,489460.0,694.0,1387000.0,2320.0,301918.0
2002/2003,97.0,10.0,250382.0,391.0,615000.0,68896.0,632143.0
2003/2004,130.0,16.0,126533.0,454.0,916000.0,7457.0,153547.0
2005/2006,31.0,9.0,304317.0,1524.0,3606648.0,1683.0,851064.0
2007/2008,82.0,12.0,435125.0,1371.0,4832961.0,33307.0,271718.0
2009/2010,34.0,11.0,1083881.0,9835.0,6900000.0,13061.0,9728140.0
2011/2012,244.0,12.0,578817.0,989.0,1678831.0,25343.0,2178448.0
2012/2014,27.0,10.0,217369.0,773.0,2023457.0,3332.0,895889.0
2015/2016,5.0,9.0,210723.0,1318.0,1104579.0,368.0,1148350.0
2016/2017,13.0,9.0,295596.0,431.0,808326.0,861.0,1291378.0
2019/2020,22.0,6.0,242422.0,540.0,1424172.0,3050.0,1452150.0
2021/2022,191.1,12.0,451991.0,1138.0,1155220.0,3277.0,1363683.0
