ZEIT,Fahrzeuge Alternative Antriebe Elektro,Fahrzeuge Alternative Antriebe Gesamt,Fahrzeuge Alternative Antriebe H2,Fahrzeuge Alternative Antriebe Hybrid,Fahrzeuge Gesamt,Fahrzeuge SWMS,Fahrzeuge Sub,Fahrzeuge awm - Alternativer Antrieb,Fahrzeuge awm - Verbrenner
2018-04,,12.0,,,232.0,,,,
2018-08,,12.0,,,227.0,,,,
2018-12,,14.0,,,224.0,,,,
2019-04,,14.0,,,228.0,,,,
2019-08,,14.0,,,229.0,,,,
2019-12,,14.0,,,226.0,,,,
2020-04,,17.0,,,229.0,,,,
2020-08,,18.0,1.0,,229.0,,,,
2020-12,16.0,18.0,1.0,1.0,226.0,114.0,112.0,,
2021-01,16.0,18.0,1.0,1.0,226.0,114.0,112.0,,
2021-02,16.0,18.0,1.0,1.0,226.0,114.0,112.0,,
2021-03,16.0,18.0,1.0,1.0,225.0,113.0,112.0,,
2021-04,22.0,24.0,1.0,1.0,229.0,119.0,110.0,,
2021-05,22.0,24.0,1.0,1.0,233.0,119.0,114.0,,
2021-06,22.0,24.0,1.0,1.0,225.0,116.0,109.0,,
2021-07,23.0,25.0,1.0,1.0,226.0,117.0,109.0,,
2021-08,24.0,26.0,1.0,1.0,226.0,117.0,109.0,,
2021-09,24.0,26.0,1.0,1.0,226.0,117.0,109.0,,
2021-10,25.0,27.0,1.0,1.0,224.0,116.0,108.0,,
2021-11,27.0,29.0,1.0,1.0,228.0,118.0,110.0,,
2021-12,27.0,29.0,1.0,1.0,228.0,118.0,110.0,,
2022,,,,,,,,30.0,192.0
2022-01,28.0,30.0,1.0,1.0,229.0,114.0,115.0,,
2022-02,28.0,30.0,1.0,1.0,230.0,114.0,116.0,,
2022-03,28.0,30.0,1.0,1.0,231.0,114.0,117.0,,
2022-04,28.0,30.0,1.0,1.0,234.0,113.0,121.0,,
2022-05,28.0,30.0,1.0,1.0,223.0,111.0,112.0,,
2022-06,28.0,30.0,1.0,1.0,223.0,111.0,112.0,,
2022-07,30.0,32.0,1.0,1.0,224.0,111.0,113.0,,
2022-08,31.0,33.0,1.0,1.0,223.0,112.0,111.0,,
2022-09,38.0,38.0,0.0,0.0,228.0,118.0,110.0,,
2022-10,38.0,38.0,0.0,0.0,228.0,118.0,110.0,,
2022-11,38.0,38.0,0.0,0.0,227.0,117.0,110.0,,
2022-12,38.0,38.0,0.0,0.0,227.0,117.0,110.0,,
2023-01,38.0,38.0,0.0,0.0,224.0,114.0,110.0,,
2023-02,38.0,38.0,0.0,0.0,219.0,109.0,110.0,,
2023-03,38.0,38.0,0.0,0.0,218.0,108.0,110.0,,
